S0,T,K,P
100,0.08333333333333333,60,40.09968025764378
100,0.08333333333333333,70,30.172270568572852
100,0.08333333333333333,80,20.21502021738759
100,0.08333333333333333,90,10.152450950460175
100,0.08333333333333333,100,0.8857936311120267
100,0.08333333333333333,110,1e-05
100,0.08333333333333333,120,1e-05
100,0.08333333333333333,130,1e-05
100,0.08333333333333333,140,1e-05
100,0.16666666666666666,60,40.17467220521172
100,0.16666666666666666,70,30.428100700280606
100,0.16666666666666666,80,20.295148749537226
100,0.16666666666666666,90,10.356354801604303
100,0.16666666666666666,100,1.5520023819947386
100,0.16666666666666666,110,0.004977073570878185
100,0.16666666666666666,120,1e-05
100,0.16666666666666666,130,1e-05
100,0.16666666666666666,140,1e-05
100,0.25,60,40.22438982986647
100,0.25,70,30.41623016512074
100,0.25,80,20.4836099782566
100,0.25,90,10.777701271112084
100,0.25,100,2.1792793221553044
100,0.25,110,0.05862154261307975
100,0.25,120,1e-05
100,0.25,130,1e-05
100,0.25,140,1e-05
100,0.5,60,40.91706506016235
100,0.5,70,30.77585095618811
100,0.5,80,21.203678384266826
100,0.5,90,11.543510920635784
100,0.5,100,3.99067598666897
100,0.5,110,0.6113695305972555
100,0.5,120,0.03789134810120832
100,0.5,130,0.006844502931943586
100,0.5,140,1e-05
100,1.0,60,40.84730604168293
100,1.0,70,32.65838531573654
100,1.0,80,22.209903386603653
100,1.0,90,14.25193498371177
100,1.0,100,7.35863290021014
100,1.0,110,2.7478293404105596
100,1.0,120,0.9038136045171058
100,1.0,130,0.19309786964794898
100,1.0,140,0.15418847524338075
